hour,tariff_rate_irr_per_kwh,peak_type,max_grid_capacity_kw
0,1200,Off-Peak,50000
1,1200,Off-Peak,50000
2,1200,Off-Peak,50000
3,1200,Off-Peak,50000
4,1200,Off-Peak,50000
5,1200,Off-Peak,50000
6,1200,Off-Peak,50000
7,2500,Mid-Peak,50000
8,2500,Mid-Peak,50000
9,2500,Mid-Peak,50000
10,2500,Mid-Peak,50000
11,2500,Mid-Peak,50000
12,2500,Mid-Peak,50000
13,4800,On-Peak,50000
14,4800,On-Peak,50000
15,4800,On-Peak,50000
16,4800,On-Peak,50000
17,4800,On-Peak,50000
18,2500,Mid-Peak,50000
19,2500,Mid-Peak,50000
20,4800,On-Peak,50000
21,4800,On-Peak,50000
22,2500,Mid-Peak,50000
23,1200,Off-Peak,50000
